Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,17,0,17.5,2.7,6.9,0.39,0.5,2.3,0.205,2.2,4.6,0.481,0.424,1.7,2.1,0.829,1.5,3.9,5.4,1.1,0.2,0.7,1,1.4,7.6
2,Steven Adams,C,29,MEM,37,37,27,3.6,6.2,0.583,0,0,0,3.6,6.2,0.585,0.583,1,2.9,0.33,5,6.5,11.5,2.3,0.9,1.2,1.9,2.3,8.2
3,Bam Adebayo,C,25,MIA,37,37,35.2,8.5,15.8,0.538,0,0.3,0.1,8.5,15.5,0.546,0.539,4.4,5.4,0.806,2.8,7.1,9.9,3.1,1.1,0.8,2.9,3,21.4
4,Ochai Agbaji,SG,22,UTA,21,0,10.1,1.4,3,0.468,0.6,1.7,0.343,0.8,1.3,0.63,0.565,0.2,0.5,0.5,0.4,0.8,1.2,0.3,0,0,0.1,1,3.6
5,Santi Aldama,PF,22,MEM,38,16,22.7,3.3,7,0.479,1.3,3.4,0.377,2.1,3.6,0.578,0.572,1.4,1.9,0.726,1.2,3.8,5,1.3,0.7,0.8,0.6,2.2,9.4
6,Nickeil Alexander-Walker,SG,24,UTA,29,2,15.7,2.6,5.3,0.49,1.1,2.7,0.41,1.5,2.6,0.573,0.595,0.8,1.2,0.686,0.3,1.4,1.7,2.3,0.7,0.4,1.3,1.7,7.1
7,Grayson Allen,SG,27,MIL,38,36,27.1,3.3,7.6,0.436,1.8,4.6,0.387,1.5,3,0.509,0.552,1.8,2,0.909,0.9,2.6,3.6,2.6,0.7,0.2,1.1,1.4,10.2
8,Jarrett Allen,C,24,CLE,35,35,32.8,5.3,8.5,0.619,0,0.2,0,5.3,8.4,0.631,0.619,2.6,3.7,0.702,3,6.8,9.8,1.5,0.8,1.2,1.4,2.1,13.2
9,Jose Alvarado,PG,24,NOP,41,8,21,3.3,8,0.416,1.4,4.1,0.335,1.9,3.8,0.503,0.503,1.2,1.5,0.787,0.5,2,2.4,3.1,1.2,0.1,1.4,2,9.2
10,Kyle Anderson,PF,29,MIN,31,16,25.5,2.8,5.8,0.483,0.5,1.3,0.415,2.3,4.5,0.504,0.531,1.7,2.1,0.815,0.6,3.7,4.3,3.7,1.2,0.7,1.4,2.1,7.9
11,Giannis Antetokounmpo,PF,28,MIL,35,35,33.7,10.9,20.8,0.524,0.7,2.9,0.245,10.2,17.9,0.569,0.541,8.5,12.9,0.653,2.3,9.7,11.9,5.3,0.8,0.9,4,3.5,31
12,Thanasis Antetokounmpo,SF,30,MIL,19,0,4.4,0.2,0.7,0.214,0,0.2,0,0.2,0.5,0.3,0.214,0.2,0.3,0.5,0.3,0.6,0.9,0.2,0.1,0.2,0.4,0.4,0.5
13,Cole Anthony,PG,22,ORL,24,3,26.5,4.1,9.9,0.416,1.1,3.7,0.303,3,6.2,0.483,0.473,2.5,2.8,0.896,0.6,4,4.6,4.3,0.8,0.4,1.6,3,11.9
14,OG Anunoby,SF,25,TOR,37,37,36.9,6.8,14.5,0.469,1.9,5.2,0.368,4.9,9.3,0.526,0.535,2.8,3.3,0.836,1.6,4.3,5.9,2.1,2.2,0.8,2.3,3.2,18.3
15,Ryan Arcidiacono,PG,28,NYK,10,0,2.5,0.1,0.5,0.2,0.1,0.3,0.333,0,0.2,0,0.3,0,0,,0,0.4,0.4,0.2,0.2,0,0.1,0.3,0.3
16,Deni Avdija,SF,22,WAS,40,30,26,3,6.9,0.431,0.9,3,0.288,2.1,4,0.538,0.493,1.4,1.8,0.789,1,4.9,5.9,2.7,0.8,0.6,1.6,3,8.2
17,Deandre Ayton,C,24,PHO,37,37,29.5,7.6,12.9,0.592,0.2,0.6,0.333,7.5,12.4,0.604,0.599,2,2.7,0.733,2.8,7,9.8,2,0.5,0.7,2.1,2.8,17.5
18,Udoka Azubuike,C,23,UTA,15,0,4.2,0.8,0.9,0.857,0,0,,0.8,0.9,0.857,0.857,0.1,0.4,0.333,0.7,1.1,1.8,0.3,0.1,0.2,0.2,0.3,1.7
