,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,All-Star Probability,Conference
114,115,Luka Dončić,Guard,23,DAL,26,26,36.9,11.3,22.8,0.496,2.8,8.3,0.338,8.5,14.5,0.586,0.557,7.5,10.4,0.726,0.8,7.6,8.4,8.7,1.7,0.7,3.6,2.9,33.0,0.9999087,West
124,125,Kevin Durant,Frontcourt,34,BRK,28,28,36.7,10.8,19.3,0.559,1.6,4.8,0.346,9.1,14.5,0.629,0.602,6.8,7.4,0.922,0.3,6.4,6.7,5.5,0.7,1.7,3.4,2.3,30.0,0.99969625,East
100,101,Anthony Davis,Frontcourt,29,LAL,24,24,34.1,10.5,17.6,0.593,0.4,1.3,0.29,10.1,16.3,0.617,0.604,6.8,8.3,0.824,3.3,9.2,12.4,2.7,1.3,2.2,1.9,2.8,28.1,0.9996557,West
425,424,Jayson Tatum,Frontcourt,24,BOS,28,28,37.0,10.0,21.2,0.47,3.4,9.3,0.362,6.6,11.9,0.556,0.55,6.9,8.0,0.858,1.1,7.1,8.3,4.1,1.1,1.0,2.8,2.2,30.2,0.9991648,East
130,131,Joel Embiid,Frontcourt,28,PHI,19,19,35.5,11.1,20.5,0.538,1.1,3.3,0.323,10.0,17.3,0.579,0.564,10.1,11.9,0.85,1.7,7.9,9.7,4.7,1.1,1.6,4.1,3.3,33.3,0.9989359,East
98,99,Stephen Curry,Guard,34,GSW,26,26,34.4,10.1,20.2,0.5,5.0,11.6,0.434,5.0,8.5,0.59,0.625,4.8,5.2,0.919,0.6,6.0,6.6,6.8,1.0,0.3,3.1,2.1,30.0,0.99875355,West
151,152,Shai Gilgeous-Alexander,Guard,24,OKC,26,26,35.6,10.4,20.5,0.506,1.0,3.0,0.321,9.4,17.5,0.537,0.529,9.3,10.0,0.934,0.8,3.8,4.6,5.8,1.7,1.0,3.3,2.5,31.0,0.9976173,West
10,11,Giannis Antetokounmpo,Frontcourt,28,MIL,23,23,33.0,11.3,21.4,0.53,0.8,3.2,0.257,10.5,18.2,0.579,0.55,7.6,12.0,0.628,2.1,9.3,11.3,5.3,0.9,1.0,3.8,3.7,31.1,0.9974909,East
216,217,LeBron James,Frontcourt,38,LAL,20,20,36.3,10.4,21.9,0.475,2.4,7.5,0.315,8.1,14.5,0.557,0.529,3.4,4.8,0.705,1.5,7.2,8.6,6.5,1.3,0.6,3.3,2.0,26.5,0.9920934,West
226,227,Nikola Jokić,Frontcourt,27,DEN,24,24,32.5,9.3,14.7,0.634,0.8,2.5,0.305,8.5,12.2,0.7,0.659,5.3,6.5,0.808,2.0,8.3,10.3,9.0,1.4,0.8,3.5,2.8,24.6,0.9900276,West
