Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Precious Achiuwa,C,23,TOR,12,0,20.4,3,7.7,0.391,0.4,2.3,0.179,2.6,5.3,0.484,0.418,2.3,2.8,0.848,2,5,7,1.3,0.2,0.6,1.3,1.6,8.8
2,Steven Adams,C,29,MEM,24,24,26.7,3.6,5.9,0.61,0,0,0,3.6,5.8,0.614,0.61,0.8,2.7,0.292,4.8,5.7,10.5,2.3,0.8,1,2.1,2.3,8
3,Bam Adebayo,C,25,MIA,27,27,35,8,15.3,0.524,0,0.4,0.1,8,15,0.535,0.525,4.5,5.4,0.841,2.3,7.4,9.7,3.3,1,0.7,3.1,3.2,20.6
4,Ochai Agbaji,SG,22,UTA,12,0,9,1.2,2.7,0.438,0.3,1.2,0.286,0.8,1.5,0.556,0.5,0.3,0.6,0.571,0.5,0.8,1.3,0.1,0.1,0,0,1,3
5,Santi Aldama,PF,22,MEM,26,16,24.7,3.6,7.7,0.47,1.3,3.8,0.357,2.3,3.9,0.578,0.558,1.5,2,0.745,1.5,4.3,5.8,1.4,0.8,0.9,0.6,2.5,10
6,Nickeil Alexander-Walker,SG,24,UTA,19,2,14.6,2.4,5,0.484,1.2,2.7,0.442,1.2,2.3,0.535,0.605,0.7,1,0.737,0.3,1.4,1.6,2,0.6,0.4,1.3,1.6,6.8
7,Grayson Allen,SG,27,MIL,24,22,27.4,3.5,7.5,0.461,2,4.7,0.42,1.5,2.8,0.529,0.592,2.2,2.4,0.93,0.9,2.7,3.6,2.6,0.8,0.2,1.2,1.5,11.1
8,Jarrett Allen,C,24,CLE,22,22,32.9,5.8,9.4,0.617,0,0.1,0,5.8,9.2,0.626,0.617,2.7,3.6,0.747,3,7.3,10.3,1.4,0.7,1.3,1.7,2.5,14.2
9,Jose Alvarado,PG,24,NOP,27,6,20.7,3.4,7.6,0.454,1.5,4,0.38,1.9,3.6,0.536,0.554,1.1,1.4,0.769,0.4,1.8,2.2,3.2,1.3,0.1,1.4,2.2,9.5
10,Kyle Anderson,PF,29,MIN,23,8,24.1,2.7,5.3,0.504,0.4,1.1,0.4,2.3,4.3,0.531,0.545,1.7,2.2,0.8,0.6,3.7,4.3,3.5,1,0.8,1.6,1.7,7.6
11,Giannis Antetokounmpo,PF,28,MIL,23,23,33,11.3,21.4,0.53,0.8,3.2,0.257,10.5,18.2,0.579,0.55,7.6,12,0.628,2.1,9.3,11.3,5.3,0.9,1,3.8,3.7,31.1
12,Thanasis Antetokounmpo,SF,30,MIL,13,0,3.6,0.2,0.4,0.4,0,0.1,0,0.2,0.3,0.5,0.4,0,0,,0.2,0.7,0.8,0.2,0,0.2,0.4,0.2,0.3
13,Cole Anthony,PG,22,ORL,12,3,26.7,4.7,10.8,0.434,1.4,4,0.354,3.3,6.8,0.481,0.5,2.8,3.2,0.868,0.5,4,4.5,4.1,1,0.3,1.6,3.4,13.5
14,OG Anunoby,SF,25,TOR,26,26,36.7,7.1,14.9,0.475,1.5,4.7,0.331,5.5,10.2,0.541,0.527,3.3,3.9,0.833,1.4,4.5,5.8,2.1,2.4,0.8,2.5,3,19
15,Ryan Arcidiacono,PG,28,NYK,6,0,2.7,0,0.5,0,0,0.3,0,0,0.2,0,0,0,0,,0,0.3,0.3,0.3,0.3,0,0.2,0.3,0
16,Deni Avdija,SF,22,WAS,29,26,25.5,2.9,7,0.414,0.8,3,0.279,2.1,4,0.513,0.473,1.1,1.5,0.75,0.9,4.4,5.3,2.7,0.9,0.6,1.4,3.1,7.8
17,Deandre Ayton,C,24,PHO,26,26,28.8,7.4,12,0.619,0.2,0.5,0.286,7.3,11.5,0.634,0.625,2,2.8,0.722,3,6.5,9.5,2.2,0.5,0.8,2,2.9,17
18,Udoka Azubuike,C,23,UTA,10,0,3.9,0.7,0.8,0.875,0,0,,0.7,0.8,0.875,0.875,0.2,0.6,0.333,0.5,1.2,1.7,0.3,0.2,0.3,0.2,0.3,1.6
19,Marvin Bagley III,PF,23,DET,17,13,22.8,4.6,8.4,0.545,0.4,1.3,0.318,4.2,7.1,0.587,0.57,1.4,1.9,0.75,2.2,3.9,6.1,0.6,0.7,0.8,1.1,2.2,11
20,Patrick Baldwin Jr.,SF,20,GSW,5,0,6.4,1.2,2.6,0.462,0.8,2.2,0.364,0.4,0.4,1,0.615,0,0,,0,1.2,1.2,0,0.6,0,0.2,0,3.2
21,LaMelo Ball,PG,21,CHO,4,4,33,7.8,17.8,0.437,3.8,11.3,0.333,4,6.5,0.615,0.542,1,1.3,0.8,0,3,3,8,0.8,0.3,3,3.5,20.3
22,Mo Bamba,C,24,ORL,23,5,18.7,3.1,6.1,0.504,1.1,2.9,0.388,2,3.2,0.608,0.596,1.2,1.7,0.692,1.1,4.1,5.2,1.1,0.2,0.9,0.8,2.4,8.5
23,Paolo Banchero,PF,20,ORL,22,22,34.8,7.1,15.8,0.451,1,3.7,0.256,6.2,12.1,0.511,0.481,6.5,8.5,0.755,1.4,5.5,6.9,3.9,0.9,0.6,2.9,2.3,21.7
24,Desmond Bane,SG,24,MEM,12,12,33.6,8.3,17.8,0.465,3.8,8.5,0.451,4.4,9.3,0.477,0.573,4.3,4.8,0.912,0.5,4.4,4.9,4.8,0.6,0.3,2.3,2.4,24.7
25,Dalano Banton,PG,23,TOR,21,2,10,2,4.7,0.429,0.6,2,0.31,1.4,2.7,0.518,0.495,0.7,0.8,0.875,0.4,1.1,1.5,1.1,0.6,0.6,0.6,1.1,5.3
